"filename", "language", "C++", "YAML", "Markdown", "Dart", "JSON", "Properties", "Groovy", "XML", "HTML", "Swift", "comment", "blank", "total"
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\comment_section.dart", "Dart", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 7, 88
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\map_box.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 4, 64
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\text_field.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 3, 67
"e:\Dev\Projects\HTI\jwt_auth\lib\widgets\ticket_card.dart", "Dart", 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 2, 7, 245
"e:\Dev\Projects\HTI\jwt_auth\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"e:\Dev\Projects\HTI\jwt_auth\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Dev\Projects\HTI\jwt_auth\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Dev\Projects\HTI\jwt_auth\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"e:\Dev\Projects\HTI\jwt_auth\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\Dev\Projects\HTI\jwt_auth\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 4, 25
"e:\Dev\Projects\HTI\jwt_auth\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"e:\Dev\Projects\HTI\jwt_auth\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"e:\Dev\Projects\HTI\jwt_auth\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
