"filename", "language", "Dart", "JSON", "C++", "YAML", "Markdown", "Properties", "Groovy", "XML", "HTML", "Swift", "comment", "blank", "total"
"e:\Dev\Projects\HTI\jwt_auth\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, -122, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -123
"e:\Dev\Projects\HTI\jwt_auth\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -24
"e:\Dev\Projects\HTI\jwt_auth\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -2, -5
"e:\Dev\Projects\HTI\jwt_auth\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, -1, -1, -38
"e:\Dev\Projects\HTI\jwt_auth\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -1, -1, -27
"e:\Dev\Projects\HTI\jwt_auth\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"e:\Dev\Projects\HTI\jwt_auth\lib\assets\translations\ar_SA.json", "JSON", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"e:\Dev\Projects\HTI\jwt_auth\lib\assets\translations\en_US.json", "JSON", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"e:\Dev\Projects\HTI\jwt_auth\lib\data\api_config.dart", "Dart", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -8, -34
"e:\Dev\Projects\HTI\jwt_auth\lib\data\comment_config.dart", "Dart", -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -27
"e:\Dev\Projects\HTI\jwt_auth\lib\data\location_config.dart", "Dart", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"e:\Dev\Projects\HTI\jwt_auth\lib\data\multi_answers.dart", "Dart", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -14
"e:\Dev\Projects\HTI\jwt_auth\lib\data\multi_survey_config.dart", "Dart", -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -36
"e:\Dev\Projects\HTI\jwt_auth\lib\data\problem_config.dart", "Dart", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -14
"e:\Dev\Projects\HTI\jwt_auth\lib\data\sectors_config.dart", "Dart", -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -15
"e:\Dev\Projects\HTI\jwt_auth\lib\data\solution_config.dart", "Dart", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -14
"e:\Dev\Projects\HTI\jwt_auth\lib\data\ticket_config.dart", "Dart", -71, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -8, -83
"e:\Dev\Projects\HTI\jwt_auth\lib\data\towers_config.dart", "Dart", -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -17
"e:\Dev\Projects\HTI\jwt_auth\lib\main.dart", "Dart", -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -26
